Title,Genres,Movie Rating,Release Year,Movie Plot
Eraserhead,"Fantasy, Horror",7.3,1977,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child."
The Cat Returns,"Animation, Adventure, Comedy",7.1,2002,"After helping a cat, a seventeen-year-old girl finds herself involuntarily engaged to a cat Prince in a magical world where her only hope of freedom lies with a dapper cat statuette come to life."
Mulholland Drive,"Drama, Mystery, Thriller",7.9,2001,"After a car wreck on Mulholland Drive renders a woman amnesiac, she and a Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
Lost Highway,"Mystery, Thriller",7.6,1997,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray."
Wild at Heart,"Crime, Drama, Thriller",7.2,1990,Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.
The Straight Story,"Biography, Drama",8.0,1999,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.
Finding Dory,"Animation, Adventure, Comedy",7.2,2016,Friendly but forgetful blue tang Dory begins a search for her long-lost parents and everyone learns a few things about the real meaning of family along the way.
Nightcrawler,"Crime, Drama, Thriller",7.8,2014,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
The Man Who Knew Too Much,"Drama, Thriller",7.4,1956,"An American doctor and his wife, a former singing star, witness a murder while vacationing in Morocco, and are drawn into a twisting plot of international intrigue when their young son is kidnapped."
Scarlett,"Drama, Romance",6.4,1994,"In the long-awaited sequel to Gone With the Wind, Scarlett's flight from the scrutiny of Atlanta society takes her on a journey to Savannah and Charleston, to England, and to Ireland, where she discovers her family's roots."
"Lock, Stock...","Comedy, Drama",7.5,2000,"Four friends that are always getting involved in scams and schemes to make some quick money, while trying to stay on the right side of the local crime lord, usually find nothing ever goes to plan."
The Two Jakes,"Crime, Drama, Mystery",6.1,1990,"The sequel to Chinatown (1974) finds J.J. ""Jake"" Gittes investigating adultery and murder, and the money that comes from oil."
The Gentlemen,"Action, Crime",7.8,2019,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
The Man from U.N.C.L.E.,"Action, Adventure, Comedy",7.2,2015,"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons."
Cape Fear,"Crime, Thriller",7.3,1991,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him."
Mean Streets,"Crime, Drama, Thriller",7.2,1973,"In New York City's Little Italy, a devoutly Catholic mobster must reconcile his desire for power, his feelings for his epileptic lover, and his devotion to his troublesome friend."
The Bronx Bull,"Biography, Drama, Sport",4.7,2016,"Based on the tumultuous real-life experiences of legendary boxing champion Jake LaMotta, THE BRONX BULL chronicles his rise as a world-class boxer and his struggles with life outside of the ring, offering an unflinchingly honest look into the heart of a champion."
The King of Comedy,"Comedy, Crime, Drama",7.8,1982,A passionate yet unsuccessful comedian stalks and kidnaps his idol to take the spotlight for himself.
Nine Queens,"Crime, Drama, Thriller",7.9,2000,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
'V for Vendetta' Unmasked,Documentary,7.6,2006,A documentary about the background and making of for the movie V for Vendetta.
Secret in Their Eyes,"Crime, Drama, Mystery",6.3,2015,"A tight-knit team of rising investigators, along with their supervisor, is suddenly torn apart when they discover that one of their own teenage daughters has been brutally murdered."
The Invisible Guest,"Crime, Drama, Mystery",8.0,2016,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.
T2 Trainspotting,"Comedy, Crime, Drama",7.2,2017,"After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud, and Begbie."
Seven Psychopaths,"Comedy, Crime",7.1,2012,A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.
Fargo,"Crime, Drama",7.3,2003,"Marge Gunderson, the still pregnant police chief of Brainerd, Minnesota, investigates the murder of a town pharmacist, shot in a snowy parking lot by a stranger who was helping jump his car battery. Meantime, an old man dies of exposure in his ice fishing house, leading one of his sons to kidnap the body. Snow, snow, everywhere.—Mark McDermott"
Fargo,"Crime, Drama, Thriller",8.9,2014–2024,"Various chronicles of deception, intrigue, and murder in and around frozen Minnesota. All of these tales mysteriously lead back one way or another to Fargo, North Dakota."
Spider-Man: Far from Home,"Action, Adventure, Comedy",7.4,2019,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever."
Spider-Man: Homecoming,"Action, Adventure, Sci-Fi",7.4,2017,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City."
Spider-Man,"Action, Adventure, Sci-Fi",7.4,2002,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy."
Doctor Strange in the Multiverse of Madness,"Action, Adventure, Fantasy",6.9,2022,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others."
Warrior,"Action, Crime, Drama",8.4,2019–2023,"During the Tong Wars in the late 1800s, Ah Sahm, a martial arts prodigy from China, immigrates to San Francisco and becomes a hatchet man for the most powerful tong in Chinatown."
The Fighter,"Action, Biography, Drama",7.8,2010,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
Shin Godzilla,"Action, Drama, Horror",6.8,2016,Japan is plunged into chaos upon the appearance of a giant monster.
Tiger 3,"Action, Adventure, Thriller",5.8,2023,Tiger and Zoya are back - to save the country and their family. This time it's personal.
Voin,Sport,2.1,2015,"Film tells about duty and life values, shown through the prism of the lives of two brothers: strong and proud people. The story of a family, of the wounds in the hearts that hurt for decades, of the pain caused sometimes so thoughtlessly, and about forgiveness, which always has to take place in the life.—Art Pictures Studio"
Godzilla,"Horror, Sci-Fi",7.5,1954,American nuclear weapons testing results in the creation of a seemingly unstoppable dinosaur-like beast.
Godzilla vs. Kong,"Action, Sci-Fi, Thriller",6.3,2021,The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against each other--the fearsome Godzilla and the mighty Kong--with humanity caught in the balance.
Godzilla,"Action, Adventure, Sci-Fi",6.4,2014,"The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity."
Godzilla: King of the Monsters,"Action, Adventure, Fantasy",6.0,2019,"The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah."
Doctor Who: The Fifth Doctor Adventures,Sci-Fi,9.2,2003– ,All new adventures with The Fifth Doctor.
Secret Daughter,Drama,6.3,2016–2017,"Finding herself in hot water with the local hood, Billie pretends to be the secret daughter of Jack Norton in order to escape town, which suddenly lands her in the middle of a grieving family."
Molly,Drama,7.3,2016,"The story of how, from the early 1970s, Australia's eccentric Ian 'Molly' Meldrum became a loved and respected rock music guru as host of the TV show Countdown."
Doctors,Drama,4.6,2000–2024,"The daily lives of staff at a Birmingham medical practice, including their often-dramatic involvements with their patients."
The Mule,"Crime, Drama, Thriller",7.0,2018,A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.
The Color of Paradise,"Drama, Family",8.1,1999,"The story of Mohammed, a blind Iranian boy and his father, Hashem, who is always oscillating between accepting his son as he is and abandoning him, as he represents a burden for him, after the loss of his wife."
Cry Macho,Drama,5.7,2021,"A one-time rodeo star and washed-up horse breeder takes a job to bring a man's young son home and away from his alcoholic mom. On their journey, the horseman finds redemption through teaching the boy what it means to be a good man."
The Song of Sparrows,"Drama, Family",7.9,2008,"When an ostrich-rancher focuses on replacing his daughter's hearing aid, which breaks right before crucial exams, everything changes for a struggling rural family in Iran. Karim motorbikes into a world alien to him - incredibly hectic Tehran, where sudden opportunities for independence, thrill and challenge him. But his honor and honesty, plus traditional authority over his inventive clan, are tested, as he stumbles among vast cultural and economic gaps between his village nestled in the desert, and a throbbing international metropolis.—David Stevens"
Where Is the Friend's House?,"Drama, Family",8.1,1987,"Eight-year-old Ahmed has mistakenly taken his friend Mohammad's notebook. He wants to return it, or else his friend will be expelled from school. The boy determinedly sets out to find Mohammad's home in the neighbouring village."
Redhat and Cousin,"Adventure, Comedy, Family",8.1,1995,A boy travels a long way from his village to Tehran to work as a showman in a kid's show; but finds it harder than he thought.
Boyhood,Drama,7.9,2014,"The life of Mason, from early childhood to his arrival at college."
Before Midnight,"Drama, Romance",7.9,2013,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
Waking Life,"Animation, Drama, Fantasy",7.7,2001,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.
2036: Nexus Dawn,"Short, Sci-Fi, Thriller",6.9,2017,Niander Wallace demonstrates the merits of a new type of replicant to lawmakers.
Harry Potter and the Half-Blood Prince,"Action, Adventure, Family",7.6,2009,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past."
Harry Potter and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy",7.7,2010,"As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
Harry Potter and the Order of the Phoenix,"Action, Adventure, Family",7.5,2007,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts."
Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy",7.7,2005,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy",7.9,2004,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy",7.4,2002,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.
Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy",7.6,2001,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
The French Dispatch,"Comedy, Drama, Romance",7.1,2021,"A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine""."
The Royal Tenenbaums,"Comedy, Drama",7.6,2001,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.
The Darjeeling Limited,"Adventure, Comedy, Drama",7.2,2007,"A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other."
Isle of Dogs,"Animation, Adventure, Comedy",7.8,2018,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog."
Ben-Hur,"Action, Adventure, Drama",5.7,2016,"Judah Ben-Hur, a Jewish prince falsely accused of treason by his adopted brother, an officer in the Roman army, returns to his homeland after years at sea to seek revenge, but finds redemption."
Zodiac,"Crime, Drama, Mystery",7.7,2007,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
Fury,"Action, Drama, War",7.6,2014,"A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945."
Monsieur Verdoux,"Comedy, Crime, Drama",7.8,1947,"A suave but cynical man supports his family by marrying and murdering rich women for their money, but the job has some occupational hazards."
My Left Foot,"Biography, Drama",7.8,1989,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot."
The Pilgrim,"Comedy, Western",7.2,1923,"Disguised as a priest, an escaped convict makes his way to Texas. He ends up in a small rural town where the townsfolk mistake him for their new church minister."
The Boxer,"Drama, Romance, Sport",7.0,1997,"Young Danny Flynn is released from prison 14 years after ""taking the rap"" for the IRA and tries to rebuild his life in his old Belfast neighborhood."
Eyes Wide Shut,"Drama, Mystery, Thriller",7.5,1999,"A Manhattan doctor embarks on a bizarre, night-long odyssey after his wife's admission of unfulfilled longing."
I Saw the Devil,"Action, Crime, Thriller",7.8,2010,A secret agent exacts revenge on a serial killer through a series of captures and releases.
Mother,"Crime, Drama, Mystery",7.7,2009,A mother desperately searches for the killer who framed her son for a girl's horrific murder.
The Chaser,"Action, Crime, Drama",7.8,2008,A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.
The Host,"Drama, Horror, Sci-Fi",7.1,2006,A monster emerges from Seoul's Han River and begins attacking people. One victim's loving family does what it can to rescue her from its clutches.
The Wailing,"Drama, Horror, Mystery",7.4,2016,"Soon after a stranger arrives in a little village, a mysterious sickness starts spreading. A policeman, drawn into the incident, is forced to solve the mystery in order to save his daughter."
Burning,"Drama, Mystery, Thriller",7.5,2018,"Jong-su bumps into a girl who used to live in the same neighborhood, who asks him to look after her cat while she's on a trip to Africa. When back, she introduces Ben, a mysterious guy she met there, who confesses his secret hobby."
Dead Poets Society,Drama,8.8,1998,An audiobook version of Dead Poiets Society narrated by James Bean.
A Streetcar Named Desire,Drama,7.9,1951,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
The Navigator,"Action, Comedy, Romance",7.6,1924,Two spoiled rich people find themselves trapped on an empty passenger ship.
Seven Chances,"Comedy, Romance",7.8,1925,A man learns that he will inherit a fortune if he marries by 7PM that evening.
Monsters University,"Animation, Adventure, Comedy",7.2,2013,"A look at the relationship between Mike Wazowski and James P. ""Sully"" Sullivan during their days at Monsters University, when they weren't necessarily the best of friends."
Our Hospitality,"Comedy, Romance, Thriller",7.8,1923,"A man returns to his Appalachian homestead. On the trip, he falls for a young woman. The only problem is her family has vowed to kill every member of his family."
Mad Max,"Action, Adventure, Sci-Fi",6.8,1979,"In a self-destructing world, a vengeful Australian policeman sets out to stop a violent motorcycle gang."
Heaven's Gate,"Adventure, Drama, Western",6.7,1980,"During the Johnson County War in 1890 Wyoming, a sheriff born into wealth does his best to protect immigrant farmers from rich cattle interests."
Touch of Evil,"Crime, Drama, Film-Noir",8.0,1958,"A stark, perverse story of murder, kidnapping and police corruption in a Mexican border town."
Cries & Whispers,Drama,8.0,1972,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface."
Autumn Sonata,"Drama, Music",8.1,1978,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young."
Fanny and Alexander,Drama,8.1,1982,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls."
Winter Light,Drama,8.0,1963,A small-town priest struggles with his faith.
The Virgin Spring,Drama,8.0,1960,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way."
Through a Glass Darkly,Drama,7.9,1961,"Recently released from a mental hospital, Karin rejoins her emotionally disconnected family in their island home, only to slip from reality as she begins to believe she is being visited by God."
How to Train Your Dragon 2,"Animation, Action, Adventure",7.8,2014,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
You Can't Take It with You,"Comedy, Drama, Romance",7.8,1938,The son of a snobbish Wall Street banker becomes engaged to a woman from a good-natured but decidedly eccentric family not realizing that his father is trying to force her family from their home for a real estate development.
Jaws 2,"Adventure, Horror, Thriller",5.8,1978,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.
How to Train Your Dragon: The Hidden World,"Animation, Action, Adventure",7.4,2019,"When Hiccup discovers Toothless isn't the only Night Fury, he must seek the Hidden World, a secret Dragon Utopia before a hired tyrant named Grimmel finds it first."
Ratatouille: The TikTok Musical,"Comedy, Family, Musical",6.3,2021,"The TikTok musical sensation, based on the Disney/Pixar film, comes to delicious life for an unprecedented, community-written, Broadway-caliber, lip-smacking special event to benefit The Actors Fund."
Late Spring,Drama,8.2,1949,"Several people try to talk 27-year-old Noriko into marrying, but all she wants is to keep on caring for her widowed father."
Early Summer,"Drama, Romance",8.1,1951,"A family chooses a match for their daughter Noriko, but she, surprisingly, has her own plans."
An Autumn Afternoon,Drama,8.0,1962,An aging widower arranges a marriage for his only daughter.
Stalker,"Drama, Sci-Fi",8.1,1979,A guide leads two men through an area known as the Zone to find a room that grants wishes.
The Seventh Seal,"Short, Drama",7.4,2022,"Disillusioned Knight Antonius returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death to a chess match for his life. Tormented by the belief that God does not exist, Antonius sets off on a journey, meeting up with traveling player Mia and becoming determined to evade Death long enough to commit one redemptive act while he still lives. But Death is always around the corner, biding his time. Knight Antonius cannot escape his fate, and the two begin their game."
Short Term 12,Drama,7.9,2013,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.
The Big Lebowski 2,"Short, Comedy",2.2,2011,"A fake trailer about a remake of the Big Lebowski, only this time Tara Reid is playing all the parts."
The Wolverine,"Action, Sci-Fi",6.7,2013,"Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants."
Deadpool,"Action, Comedy",8.0,2016,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks."
X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",7.9,2014,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
Deadpool 2,"Action, Adventure, Comedy",7.6,2018,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
Rocky II,"Drama, Sport",7.3,1979,"Rocky struggles in family life after his bout with Apollo Creed, while the embarrassed champ insistently goads him to accept a challenge for a rematch."
Rocky III,"Drama, Sport",6.8,1982,"Rocky faces the ultimate challenge from a powerful new contender, and must turn to a former rival to help regain his throne as the undisputed fighting champion."
X-Men: First Class,"Action, Sci-Fi",7.7,2011,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
Rocky IV,"Drama, Sport",6.9,1985,"Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union."
Rocky Balboa,"Action, Drama, Sport",7.1,2006,"Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon."
Rocky V,"Drama, Sport",5.4,1990,"Reluctantly retired from fighting, Rocky takes charge of Mickey's gym and agrees to train a young protégé who's hungry for success."
Creed,"Action, Drama, Sport",7.6,2015,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
The King's Speech,"Biography, Drama, History",8.0,2010,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
Argo,"Biography, Drama, Thriller",7.7,2012,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
Birdman or (The Unexpected Virtue of Ignorance),"Comedy, Drama",7.7,2014,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
Born on the Fourth of July,"Biography, Drama, War",7.2,1989,"The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country for which he fought."
Terminator Genisys,"Action, Adventure, Sci-Fi",6.3,2015,"When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline."
Terminator Salvation,"Action, Adventure, Sci-Fi",6.5,2009,"In 2018, a mysterious new weapon in the war against the machines, half-human and half-machine, comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on, and can he be trusted?"
Terminator: Dark Fate,"Action, Adventure, Sci-Fi",6.2,2019,"An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race."
Soorarai Pottru,"Action, Drama",8.7,2020,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
Vikram,"Action, Crime, Drama",8.3,2022,"A special investigator discovers a case of serial killings is not what it seems to be, and leading down this path is only going to end in a war between everyone involved."
Kaithi,"Action, Crime, Drama",8.4,2019,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
Sita Ramam,"Action, Drama, Mystery",8.6,2022,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
K.G.F: Chapter 2,"Action, Crime, Drama",8.3,2022,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes, while the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy."
Kantara,"Action, Adventure, Drama",8.2,2022,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice."
Asuran,"Action, Drama",8.4,2019,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story."
Pariyerum Perumal,Drama,8.7,2018,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this."
Jailer,"Action, Comedy, Crime",7.1,2023,"A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?"
Rocketry: The Nambi Effect,"Biography, Drama",8.7,2022,"The story of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994."
Mrs. Miniver,"Drama, Romance, War",7.6,1942,A British family struggles to survive the first months of World War II.
Exorcist II: The Heretic,Horror,3.8,1977,"A teenage girl once possessed by a demon finds that it still lurks within her. Meanwhile, a priest investigates the death of the girl's exorcist."
Pirates of the Caribbean: Dead Man's Chest,"Action, Adventure, Fantasy",7.4,2006,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
The Exorcist III,"Drama, Horror, Mystery",6.5,1990,"A police lieutenant uncovers more than he bargained for as his investigation of a series of murders, which have all the hallmarks of the deceased Gemini serial killer, leads him to question the patients of a psychiatric ward."
Pirates of the Caribbean: At World's End,"Action, Adventure, Fantasy",7.1,2007,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle."
Pirates of the Caribbean: On Stranger Tides,"Action, Adventure, Fantasy",6.6,2011,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
Pirates of the Caribbean: Dead Men Tell No Tales,"Action, Adventure, Fantasy",6.5,2017,Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.
Pirates of the Caribbean: Tales of the Code: Wedlocked,"Short, Action, Adventure",6.8,2011,"In this short prequel to the first Pirates of the Caribbean movie, two feisty brides-to-be discover that they have something in common - the absent groom. Still, there are plenty of pirates who'd love to trade their goats for 'em."
Senna,"Documentary, Biography, Sport",8.5,2010,"A documentary on Brazilian Formula One racing driver Ayrton Senna, who won the F1 world championship three times before his death at age 34."
Dog Day Afternoon,"Biography, Crime, Drama",8.0,1975,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does."
Stand by Me: Deleted and Alternate Scenes,"Short, Drama",8.3,2019,Deleted and Alternate scenes from the 1986 film Stand by Me that were deleted from the film.
Aladdin,"Animation, Adventure, Comedy",8.0,1992,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
The Wizard of Oz,"Comedy, Family, Fantasy",4.9,1925,"Dorothy, heir to the Oz throne, must take it back from the wicked Prime Minister Kruel with the help of three farmhands."
Mary Poppins,"Comedy, Family, Fantasy",7.8,1964,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father."
My Fair Lady,"Drama, Family, Musical",7.7,1964,"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl, Eliza Doolittle, presentable in high society."
My Grandfather's People,"Comedy, Drama, Family",8.0,2011,"Grandpapa and his family were torn from their land, forced to migrate from Crete during the population exchange when he was just seven years old. Grands greatest desire is to see the land of his birth before he dies. It is this longing that makes him frequently drop bottles containing letters into the Aegean.—Anonymous"
Incredibles 2,"Animation, Action, Adventure",7.5,2018,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.
Süt Kardesler,"Comedy, Family, Mystery",8.8,1976,"Saban, Ramazan and Bayram are sailors in an Ottoman Navy and Hüsamettin is their commander. Hüsamettin's aide Ramazan, Saban who is foster son of Hüsamettin's sister and Bayram who is married to Hüsamettin's niece stays at Hüsamettin's family residence."
Our Family,"Comedy, Drama, Family",8.4,1975,A love story between a poor man and a rich girl. The rich girl's father tries to prevent their marriage and he declares a war against the poor boy's family.
Neseli Günler,"Comedy, Drama, Family",8.7,1978,A mid-aged couple with 6 kids who are running a pickle shop gets divorced with 3 kids each. The family members find each other years later with a funny story.
Gülen Gözler,"Comedy, Drama, Family",8.4,1977,Yasar and his wife Nezaket have kept on producing children in the hope of finally getting a male child. But they end up with only daughters instead (who they give masculine names). Now they are stuck with the task of arranging suitable rich husbands for them.—ahmetkozan
Decision to Leave,"Crime, Drama, Mystery",7.3,2022,A detective investigating a man's death in the mountains meets the dead man's mysterious wife in the course of his dogged sleuthing.
Thirst,"Drama, Fantasy, Horror",7.1,2009,"Through a failed medical experiment, a priest is stricken with vampirism and is forced to abandon his ascetic ways."
Lady Vengeance,"Crime, Drama, Thriller",7.5,2005,"After being wrongfully imprisoned for thirteen years and having her child taken away from her, a woman seeks revenge through increasingly brutal means."
21 Grams,"Crime, Drama, Thriller",7.6,2003,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
Sympathy for Mr. Vengeance,"Crime, Drama, Thriller",7.5,2002,"A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant."
Babel,Drama,7.5,2006,"Tragedy strikes a married couple on vacation in the Moroccan desert, which jump starts an interlocking story involving four different families."
Biutiful,"Drama, Romance",7.4,2010,A man dying of cancer tries his best to leave the world on his own terms.
And Your Mother Too,Drama,7.7,2001,"In Mexico, two teenage boys and an older woman embark on a road trip and learn a thing or two about life and each other."
Notorious,"Drama, Film-Noir, Romance",7.9,1946,The daughter of a convicted German spy is asked by American agents to gather information on a ring of German scientists in South America. How far will she have to go to ingratiate herself with them?
Spellbound,"Film-Noir, Mystery, Romance",7.5,1945,A psychiatrist protects the identity of an amnesia patient accused of murder while attempting to recover his memory.
